CLI Config ID,Release Config ID,Firmware Type,Title,Flash Vendor,Flash Geometry,Flash Type,Flash Part Number,Package Type,Package Count,Package Density,Package Die Count,Raw Capacity,User Capacity,512 LBA Count,512 Plus DIF LBA Count,520 LBA Count,524 LBA Count,4096 LBA Count,4096 Plus DIF LBA Count,Non 512 Sector Size,RAISE ON,Version Demo,Version Release,Topology ID,SATA Speed,Write IOPs,Firmware Fuse(?),Industrial Features,CLI Build ID,Release Build ID,Valid Flag,Release Status,Firmware Worksheet,Parent Folder
C27917,27917,SF-2281-Gold-Avant,SF-2281-Gold 120GB Toshiba32 eMLC BGA 16xTH58TAG6E2FBA49,Toshiba,32,eMLC,TH58TAG6E2FBA49,BGA,16,64,5260356,128,120,234441648,0,0,0,0,0,0,True,TBD,TBD,2Q-4C-1D-4L-S,6,0,64512,0,PP-C02114,PP-R02114,1,External,Avant,SF-2281_Board
C27918,27918,SF-2281-Gold-TS,SF-2281-Gold-TS 80GB Intel20 MLC BGA 3xPF29F32B08NCMF2*,Intel,20,MLC,PF29F32B08NCMF2,BGA,3,256,5260369,96,80,156301488,0,0,0,0,0,0,True,TBD,TBD,2Q-2C-1D-3L,6,0,64512,0,PP-C02568,PP-R02568,1,External,Intel*,SF-2281_Board
C27919,27919,SF-2281-Gold-TS,SF-2281-Gold-TS 180GB Intel20 MLC BGA 6xPF29F32B08NCMF2,Intel,20,MLC,PF29F32B08NCMF2,BGA,6,256,5260369,192,180,351651888,0,0,0,0,0,0,True,TBD,TBD,2Q-4C-1D-3L,6,0,64512,0,PP-C02569,PP-R02569,1,External,Intel,SF-2281_Board
C27920,27920,SF-2281-Gold-TS,SF-2281-Gold-TS 180GB Intel20 MLC BGA 3xPF29F64B08PCMF2,Intel,20,MLC,PF29F64B08PCMF2,BGA,3,512,5260344,192,180,351651888,0,0,0,0,0,0,True,TBD,TBD,2Q-4C-1D-3L,6,0,64512,0,PP-C02570,PP-R02570,1,External,Intel,SF-2281_Board
C27921,27921,SF-2281-Gold-TS,SF-2281-Gold-TS 240GB Intel20 MLC BGA 4xPF29F64B08PCMF2,Intel,20,MLC,PF29F64B08PCMF2,BGA,4,512,5260344,256,240,468862128,0,0,0,0,0,0,True,TBD,TBD,2Q-4C-1D-4L,6,0,64512,0,PP-C02571,PP-R02571,1,External,Intel,SF-2281_Board
C27922,27922,SF-2281-Gold-TS,SF-2281-Gold-TS 360GB Intel20 MLC BGA 6xPF29F64B08PCMF2,Intel,20,MLC,PF29F64B08PCMF2,BGA,6,512,5260344,384,360,703282608,0,0,0,0,0,0,True,TBD,TBD,2Q-8C-1D-3L,6,0,64512,0,PP-C02572,PP-R02572,1,External,Intel,SF-2281_Board
C27923,27923,SF-2281-Gold-TS,SF-2281-Gold-TS-NGFF-REF2 80GB Intel20 MLC BGA 3xPF29F32B08NCMF2,Intel,20,MLC,PF29F32B08NCMF2,BGA,3,256,5260369,96,80,156301488,0,0,0,0,0,0,True,TBD,TBD,2Q-2C-1D-3L,6,0,64512,0,PP-C02568,PP-R02568,1,External,Intel,SF-2281_Board
C27924,27924,SF-2281-Gold-TS,SF-2281-Gold-TS-mSATA 240GB Intel20 MLC BGA 4xPF29F64B08PCMF2,Intel,20,MLC,PF29F64B08PCMF2,BGA,4,512,5260344,256,240,468862128,0,0,0,0,0,0,True,TBD,TBD,2Q-4C-1D-4L,6,0,64512,0,PP-C02571,PP-R02571,1,External,Intel,SF-2281_Board
C27925,27925,SF-2281-Gold-TS,SF-2281-Gold-TS-NGFF-REF2 180GB Intel20 MLC BGA 3xPF29F64B08PCMF2,Intel,20,MLC,PF29F64B08PCMF2,BGA,3,512,5260344,192,180,351651888,0,0,0,0,0,0,True,TBD,TBD,2Q-4C-1D-3L,6,0,64512,0,PP-C02570,PP-R02570,1,External,Intel,SF-2281_Board
C27926,27926,SF-2281-Gold-TS,SF-2281-Gold-TS-mSATA 180GB Intel20 MLC BGA 3xPF29F64B08PCMF2,Intel,20,MLC,PF29F64B08PCMF2,BGA,3,512,5260344,192,180,351651888,0,0,0,0,0,0,True,TBD,TBD,2Q-4C-1D-3L,6,0,64512,0,PP-C02570,PP-R02570,1,External,Intel,SF-2281_Board
