CLI Config ID,Release Config ID,Firmware Type,Title,Flash Vendor,Flash Geometry,Flash Type,Flash Part Number,Package Type,Package Count,Package Density,Package Die Count,Raw Capacity,User Capacity,512 LBA Count,512 Plus DIF LBA Count,520 LBA Count,524 LBA Count,528 LBA Count,4096 LBA Count,4096 Plus DIF LBA Count,Non 512 Sector Size,RAISE ON,Version Demo,Version Release,Topology ID,SATA Speed,Write IOPs,Firmware Fuse,Industrial Features,CLI Build ID,Release Build ID,Valid Flag,Release Status,Firmware Worksheet,Validated,Parent Folder
C25023,25023,SF-2582,SF-2582 37.5GB Toshiba32 eMLC BGA 3xTH58TAG7E2FBA89,Toshiba,32,eMLC,TH58TAG7E2FBA89,BGA,3,128,5260369,48,37,73277568,0,0,0,0,0,0,0,True,MP1p1,MP2,2Q-2C-1D-3L,6,0,D|D,E,F,G,H,I|Enterprise SATA,0,PP-C00028,PP-R00028,1,External,Universal,0,SF-2582_Board
C25024,25024,SF-2582,SF-2582 50GB Toshiba32 eMLC BGA 4xTH58TAG7E2FBA89,Toshiba,32,eMLC,TH58TAG7E2FBA89,BGA,4,128,5260369,64,50,97696368,0,0,0,0,0,0,0,True,Beta1,MP2,2Q-2C-1D-4L,6,0,D|D,E,F,G,H,I|Enterprise SATA,0,PP-C00029,PP-R00029,1,External,Universal,0,SF-2582_Board
C25025,25025,SF-2582,SF-2582 75GB Toshiba32 eMLC BGA 6xTH58TAG7E2FBA89,Toshiba,32,eMLC,TH58TAG7E2FBA89,BGA,6,128,5260369,96,75,146533968,0,0,0,0,0,0,0,True,MP1p1,MP2,2Q-4C-1D-3L,6,0,D|D,E,F,G,H,I|Enterprise SATA,0,PP-C00057,PP-R00057,1,External,Universal,0,SF-2582_Board
C25026,25026,SF-2582,SF-2582 100GB Toshiba32 eMLC BGA 8xTH58TAG7E2FBA89,Toshiba,32,eMLC,TH58TAG7E2FBA89,BGA,8,128,5260369,128,100,195371568,0,0,0,0,0,0,0,True,Beta1,MP2,2Q-4C-1D-4L,6,0,D|D,E,F,G,H,I|Enterprise SATA,0,PP-C00058,PP-R00058,1,External,Universal,0,SF-2582_Board
C25027,25027,SF-2582,SF-2582 150GB Toshiba32 eMLC BGA 12xTH58TAG7E2FBA89,Toshiba,32,eMLC,TH58TAG7E2FBA89,BGA,12,128,5260369,192,150,293046768,0,0,0,0,0,0,0,True,MP1p1,MP2,4Q-4C-1D-3L,6,0,D|D,E,F,G,H,I|Enterprise SATA,0,PP-C00032,PP-R00032,1,External,Universal,0,SF-2582_Board
C25028,25028,SF-2582,SF-2582 200GB Toshiba32 eMLC BGA 16xTH58TAG7E2FBA89,Toshiba,32,eMLC,TH58TAG7E2FBA89,BGA,16,128,5260369,256,200,390721968,0,0,0,0,0,0,0,True,Beta1,MP2,4Q-4C-1D-4L,6,0,D|D,E,F,G,H,I|Enterprise SATA,0,PP-C00033,PP-R00033,1,External,Universal,0,SF-2582_Board
C25029,25029,SF-2582,SF-2582 75GB Toshiba32 eMLC BGA 3xTH58TAG8E2FBA89,Toshiba,32,eMLC,TH58TAG8E2FBA89,BGA,3,256,5260344,96,75,146533968,0,0,0,0,0,0,0,True,MP1p1,MP2,2Q-2C-2D-3L,6,0,D|D,E,F,G,H,I|Enterprise SATA,0,PP-C00034,PP-R00034,1,External,Universal,0,SF-2582_Board
C25030,25030,SF-2582,SF-2582 100GB Toshiba32 eMLC BGA 4xTH58TAG8E2FBA89,Toshiba,32,eMLC,TH58TAG8E2FBA89,BGA,4,256,5260344,128,100,195371568,0,0,0,0,0,0,0,True,Beta1,MP2,2Q-2C-2D-4L,6,0,D|D,E,F,G,H,I|Enterprise SATA,0,PP-C00035,PP-R00035,1,External,Universal,0,SF-2582_Board
C25031,25031,SF-2582,SF-2582 150GB Toshiba32 eMLC BGA 6xTH58TAG8E2FBA89,Toshiba,32,eMLC,TH58TAG8E2FBA89,BGA,6,256,5260344,192,150,293046768,0,0,0,0,0,0,0,True,MP1p1,MP2,2Q-4C-2D-3L,6,0,D|D,E,F,G,H,I|Enterprise SATA,0,PP-C00036,PP-R00036,1,External,Universal,0,SF-2582_Board
C25032,25032,SF-2582,SF-2582 200GB Toshiba32 eMLC BGA 8xTH58TAG8E2FBA89,Toshiba,32,eMLC,TH58TAG8E2FBA89,BGA,8,256,5260344,256,200,390721968,0,0,0,0,0,0,0,True,Beta1,MP2,2Q-4C-2D-4L,6,0,D|D,E,F,G,H,I|Enterprise SATA,0,PP-C00037,PP-R00037,1,External,Universal,0,SF-2582_Board
C25033,25033,SF-2582,SF-2582 300GB Toshiba32 eMLC BGA 12xTH58TAG8E2FBA89,Toshiba,32,eMLC,TH58TAG8E2FBA89,BGA,12,256,5260344,384,300,586072368,0,0,0,0,0,0,0,True,MP1p1,MP2,4Q-4C-2D-3L,6,0,D|D,E,F,G,H,I|Enterprise SATA,0,PP-C00038,PP-R00038,1,External,Universal,0,SF-2582_Board
C25034,25034,SF-2582,SF-2582 400GB Toshiba32 eMLC BGA 16xTH58TAG8E2FBA89,Toshiba,32,eMLC,TH58TAG8E2FBA89,BGA,16,256,5260344,512,400,781422768,0,0,0,0,0,0,0,True,Beta1,MP2,4Q-4C-2D-4L,6,0,D|D,E,F,G,H,I|Enterprise SATA,0,PP-C00039,PP-R00039,1,External,Universal,0,SF-2582_Board
